id_policy,complete_name,id_car_brand,incident_id,car_color,sum_assured,car_model,current_payment,brand_name,velocity_max_amount,country_name,user_age
0AxKiiatj58753922017,,Volkswagen,A,cafe,875392.00,2017,true,,,,
0AxKiiatj58753922017,,Volkswagen,A,cafe,875392.00,2017,true,,,,
0ENfJyqhRJ4953082016,,Volkswagen,A,rosa,495308.00,2016,false,,,,
0ENfJyqhRJ4953082016,,Volkswagen,A,rosa,495308.00,2016,false,,,,
0Fztjvtpvs9624312016,,Volkswagen,A,negro,962431.00,2016,true,,,,
0Fztjvtpvs9624312016,,Volkswagen,A,negro,962431.00,2016,true,,,,
0KBLIzjAlk6495422015,,Volkswagen,A,verde,649542.00,2015,true,,,,
0KBLIzjAlk6495422015,,Volkswagen,A,verde,649542.00,2015,true,,,,
0LrWTspVs83559692018,,Volkswagen,A,verde,355969.00,2018,true,,,,
0LrWTspVs83559692018,,Volkswagen,A,verde,355969.00,2018,true,,,,
0MBHZFys0j6556232020,,Volkswagen,A,gris,655623.00,2020,true,,,,
0MBHZFys0j6556232020,,Volkswagen,A,gris,655623.00,2020,true,,,,
0NSbaYUqcC2790632015,,Volkswagen,A,amarillo,279063.00,2015,true,,,,
0NSbaYUqcC2790632015,,Volkswagen,A,amarillo,279063.00,2015,true,,,,
0PD0gSYcZS4015492021,,Volkswagen,A,rojo,401549.00,2021,false,,,,
0PD0gSYcZS4015492021,,Volkswagen,A,rojo,401549.00,2021,false,,,,
0Ri6sPso4C9603042020,,Volkswagen,A,morado,960304.00,2020,true,,,,
0Ri6sPso4C9603042020,,Volkswagen,A,morado,960304.00,2020,true,,,,
0Z2J91b2iT7621012018,,Volkswagen,A,azul,762101.00,2018,true,,,,
0Z2J91b2iT7621012018,,Volkswagen,A,azul,762101.00,2018,true,,,,
0bjzjKlZPn5693022022,,Volkswagen,A,verde,569302.00,2022,true,,,,
0bjzjKlZPn5693022022,,Volkswagen,A,verde,569302.00,2022,true,,,,
0dCXItAzRG2749952018,,Volkswagen,A,rojo,274995.00,2018,true,,,,
0dCXItAzRG2749952018,,Volkswagen,A,rojo,274995.00,2018,true,,,,
0hJwdHUQBz9696272020,,Volkswagen,A,negro,969627.00,2020,false,,,,
0hJwdHUQBz9696272020,,Volkswagen,A,negro,969627.00,2020,false,,,,
0jGKr8Uk7M6504492016,,Volkswagen,A,verde,650449.00,2016,true,,,,
0jGKr8Uk7M6504492016,,Volkswagen,A,verde,650449.00,2016,true,,,,
0rloWYeQAH5790082015,,Volkswagen,A,verde,579008.00,2015,true,,,,
0rloWYeQAH5790082015,,Volkswagen,A,verde,579008.00,2015,true,,,,
0vWwLLUSle6750802016,,Volkswagen,A,rosa,675080.00,2016,true,,,,
0vWwLLUSle6750802016,,Volkswagen,A,rosa,675080.00,2016,true,,,,
0vcLreQlkw5682112016,,Volkswagen,A,gris,568211.00,2016,true,,,,
0vcLreQlkw5682112016,,Volkswagen,A,gris,568211.00,2016,true,,,,
10LUfZksWl3787592021,,Volkswagen,A,rosa,378759.00,2021,true,,,,
10LUfZksWl3787592021,,Volkswagen,A,rosa,378759.00,2021,true,,,,
11b2DV7UlQ8877452017,,Volkswagen,A,naranja,887745.00,2017,true,,,,
11b2DV7UlQ8877452017,,Volkswagen,A,naranja,887745.00,2017,true,,,,
11jJEyehXd6802792020,,Volkswagen,A,rojo,680279.00,2020,true,,,,
11jJEyehXd6802792020,,Volkswagen,A,rojo,680279.00,2020,true,,,,
15z9QEJOBV6233202016,,Volkswagen,A,rojo,623320.00,2016,false,,,,
15z9QEJOBV6233202016,,Volkswagen,A,rojo,623320.00,2016,false,,,,
16dXg2YuFO2697442016,,Volkswagen,A,azul,269744.00,2016,true,,,,
16dXg2YuFO2697442016,,Volkswagen,A,azul,269744.00,2016,true,,,,
18367foCbH6896212019,,Volkswagen,A,naranja,689621.00,2019,true,,,,
18367foCbH6896212019,,Volkswagen,A,naranja,689621.00,2019,true,,,,
19lSYFEPBJ4319072021,,Volkswagen,A,gris,431907.00,2021,true,,,,
19lSYFEPBJ4319072021,,Volkswagen,A,gris,431907.00,2021,true,,,,
1CgbwsrNDl3168332018,,Volkswagen,A,negro,316833.00,2018,true,,,,
1CgbwsrNDl3168332018,,Volkswagen,A,negro,316833.00,2018,true,,,,
1DmLlPEKT73090692021,,Volkswagen,A,naranja,309069.00,2021,true,,,,
1DmLlPEKT73090692021,,Volkswagen,A,naranja,309069.00,2021,true,,,,
1FMx1wKAod7099462020,,Volkswagen,A,cafe,709946.00,2020,true,,,,
1FMx1wKAod7099462020,,Volkswagen,A,cafe,709946.00,2020,true,,,,
1ILqH2ktaG3220392015,,Volkswagen,A,negro,322039.00,2015,true,,,,
